test,test_case,function,field,previous_expectation,python_actual,r_54c98418_actual,fixture_case,classification,root_cause,implementation_change,test_fixture_change,resolution_commit
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[3-classes1-point_est1-2-2],multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_factor_levels_return_numeric_codes,multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_m_reg_factor_levels_class_confidence_interval_matches_r,multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_multivariate_regression.py,test_nns_reg_matrix_classification_dispatches_to_m_reg,multivariate regression,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,multiclass,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[3],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[5],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[8],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_r13_smoke.py,test_r_nns_13_seeded_stack_smoke_sample,NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method1_regression,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_regression.py,test_nns_reg_factor_predictor_matches_r_full_rank_dummy_path,NNS.reg,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,reg_default,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_numeric_pred_int_matches_r[1-0.95],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_numeric,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_numeric_pred_int_matches_r[2-0.8],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_numeric,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method2-5],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method3-10],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[True-method0],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method1_regression,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method4-10],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[True-method2],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_var_like_ts_test_matches_r,NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_binary_class_pred_int_matches_r[1],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_class_pred_int,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_pred_int_matches_r[method0],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_pred_int,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[False-method0],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method1_regression,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_boost.py,test_nns_boost_binary_class_pred_int_matches_r[2],NNS.boost,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,boost_class_pred_int,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_pred_int_matches_r[method2],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[False-method2],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_binary_class_matches_r[method0],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_classification,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_mixed_factor_predictor_method12_matches_r,NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method1_regression,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method0-5],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_binary_class_pred_int_matches_r[method0],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_classification,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method1-10],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_multiclass_matches_r[method2],NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_method12_ts,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_factor_like_class_pred_int_matches_r,NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_classification,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_stack.py,test_nns_stack_factor_like_class_matches_r,NNS.stack,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,stack_classification,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_var.py,test_var_interpolate_and_extrapolate_matches_r[trailing_na-3],NNS.VAR,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,var_cor_missing,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_var.py,test_var_multivariate_stack_stage_matches_r[tau1-1-cor],NNS.VAR,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,var_cor_tau1,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_var.py,test_public_nns_var_cor_handles_missing_values_like_r,NNS.VAR,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,var_cor_missing,F,unresolved pending executable 54c98418 R fixture comparison,,,
tests/parity/test_var.py,test_public_nns_var_cor_matches_r[scalar_tau-1],NNS.VAR,public parity assertion,cached parity expectation from pre-54c98418 fixture set,see pytest-54c98418.txt failure traceback,unavailable until repaired R workflow artifacts are imported,var_cor_tau1,F,unresolved pending executable 54c98418 R fixture comparison,,,
