test path,test name,affected public function,affected returned field,old expected value,new actual value,downstream of stack,downstream of multivariate regression,executable repaired R output available,classification,action taken
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[3-0.95-None-2-None],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[2-0.95-1-1-point_est2],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[3-0.8-2-2-point_est3],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[2-classes0-point_est0-1-1],nns_m_reg,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[2-classes0-point_est0-1-2],nns_m_reg,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[3-classes1-point_est1-2-1],nns_m_reg,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[3-classes1-point_est1-2-2],nns_m_reg,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[2-classes0-point_est0-1-1],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[2-classes0-point_est0-1-2],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[3-classes1-point_est1-2-1],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[3-classes1-point_est1-2-2],nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_factor_levels_return_numeric_codes,nns_m_reg,factor encoded predictions/RPM,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_m_reg_factor_levels_class_confidence_interval_matches_r,nns_m_reg,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_multivariate_regression.py,test_nns_reg_matrix_classification_dispatches_to_m_reg,nns_reg,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,direct multivariate regression mismatch after repaired interval/RPM preparation changes; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[3],nns_boost,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[5],nns_boost,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[8],nns_boost,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_r13_smoke.py,test_r_nns_13_seeded_stack_smoke_sample,nns_stack,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_numeric_pred_int_matches_r[1-0.95],nns_boost,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_numeric_pred_int_matches_r[2-0.8],nns_boost,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_regression.py,test_nns_reg_factor_predictor_matches_r_full_rank_dummy_path,nns_reg,factor encoded predictions/RPM,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,False,True,no,F,regression factor path mismatch after shared mreg/interval changes; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_binary_class_pred_int_matches_r[1],nns_boost,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method2-5],nns_stack,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method3-10],nns_stack,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[True-method0],nns_stack,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_boost.py,test_nns_boost_binary_class_pred_int_matches_r[2],nns_boost,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,boost downstream mismatch because boost consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method4-10],nns_stack,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[True-method2],nns_stack,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_var_like_ts_test_matches_r,nns_stack,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[False-method0],nns_stack,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_pred_int_matches_r[method0],nns_stack,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_pred_int_matches_r[method2],nns_stack,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[False-method2],nns_stack,numeric predictions/RPM/R2,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_mixed_factor_predictor_method12_matches_r,nns_stack,factor encoded predictions/RPM,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_binary_class_matches_r[method0],nns_stack,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method0-5],nns_stack,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method1-10],nns_stack,ts_test fold predictions/selected parameters,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_binary_class_pred_int_matches_r[method0],nns_stack,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_multiclass_matches_r[method2],nns_stack,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_factor_like_class_pred_int_matches_r,nns_stack,prediction interval and/or prediction fields,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_stack.py,test_nns_stack_factor_like_class_matches_r,nns_stack,classification predictions/RPM/Fitted.xy,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,stack output mismatch after repaired ts_test/Method 1/X-star/shared mreg changes; no fixture update made pending executable repaired R.
tests/parity/test_var.py,test_var_interpolate_and_extrapolate_matches_r[trailing_na-3],nns_var,VAR multivariate/ensemble output,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,VAR downstream mismatch because VAR consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_var.py,test_var_multivariate_stack_stage_matches_r[tau1-1-cor],nns_var,VAR multivariate/ensemble output,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,VAR downstream mismatch because VAR consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_var.py,test_public_nns_var_cor_handles_missing_values_like_r,nns_var,VAR multivariate/ensemble output,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,VAR downstream mismatch because VAR consumes stack/regression internals; no fixture update made pending executable repaired R.
tests/parity/test_var.py,test_public_nns_var_cor_matches_r[scalar_tau-1],nns_var,VAR multivariate/ensemble output,See pytest-full.txt failure block for cached/R expected value; executable repaired R not available locally.,See pytest-full.txt failure block for Python actual value from current branch.,True,True,no,F,VAR downstream mismatch because VAR consumes stack/regression internals; no fixture update made pending executable repaired R.
